baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_id,name,biotype,description,rank,is_interesting,patient_1,patient_2,patient_3,patient_6,patient_7,patient_8
757.6104416,-3.656494524,0.476831591,-7.668314332,1.74E-14,4.10E-12,ENSG00000260314,MRC1,protein_coding,mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228],62,no,-1.814090738,-4.771413455,-4.796768316,-2.543322617,-4.797544159,-3.183229171
119.3470205,-3.619802805,0.481164665,-7.523002137,5.35E-14,1.07E-11,ENSG00000206172,HBA1,protein_coding,hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823],63,no,-3.288588968,-3.367657926,-2.755376685,-4.224289251,-4.648817305,-3.331766745
712.2001528,-3.60187288,0.693525429,-5.193570027,2.06E-07,7.79E-06,ENSG00000277893,SRD5A2,protein_coding,steroid 5 alpha-reductase 2 [Source:HGNC Symbol;Acc:HGNC:11285],64,no,-5.893070919,-1.414636416,-6.817111679,-4.867874487,-2.542099204,0.095380662
6833.428539,-3.574341666,0.559690528,-6.386282216,1.70E-10,1.72E-08,ENSG00000197408,CYP2B6,protein_coding,cytochrome P450 family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:2615],65,no,-5.029720591,-1.48568796,-3.50311675,-6.746880447,-2.902046223,-2.382345692
267.1070279,-3.573914679,0.56290126,-6.349096965,2.17E-10,2.14E-08,ENSG00000167601,AXL,protein_coding,AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905],66,no,-1.616016043,-4.251678917,-3.539691365,-6.993405369,-2.932064932,-2.975073232
2482.81978,-3.554764093,0.719489176,-4.940677652,7.79E-07,2.36E-05,ENSG00000139289,PHLDA1,protein_coding,pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933],67,no,-2.187259743,-3.505654828,0.106650088,-9.200200935,-3.078199525,-5.207895087
181.3312009,-3.553220567,0.659934863,-5.384198904,7.28E-08,3.22E-06,ENSG00000004776,HSPB6,protein_coding,heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511],68,no,-1.520285796,-6.088121597,-6.505925251,-3.127814403,-3.804936507,-0.937524445
713.0419246,-3.553096264,0.551652329,-6.440825277,1.19E-10,1.26E-08,ENSG00000177575,CD163,protein_coding,CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631],69,no,-2.614352678,-5.596372859,-4.125649171,-5.148415421,-0.814990172,-2.857835557
175.2569609,-3.549019263,0.576488004,-6.156276002,7.45E-10,6.28E-08,ENSG00000111199,TRPV4,protein_coding,transient receptor potential cation channel subfamily V member 4 [Source:HGNC Symbol;Acc:HGNC:18083],70,no,-4.784546462,-6.715497853,-1.630104406,-2.414674822,-4.460372216,-2.633593634
15415.44496,-3.54582347,0.688223886,-5.152136596,2.58E-07,9.36E-06,ENSG00000135094,SDS,protein_coding,serine dehydratase [Source:HGNC Symbol;Acc:HGNC:10691],71,no,-0.463277283,-2.526459495,-6.952172994,-6.697749471,-4.056189042,-1.195129277
